[001]Pressure   [002]radm   [003]AVmax   [004]I(C+, 158 um)   [005]I(O, 145 um)
6.7000e+08   1.9000e+03   1.0000e+01   3.0500e-05   1.8122e-04
6.7000e+08   1.9000e+04   1.0000e+01   1.6101e-04   7.4288e-04
6.7000e+08   3.5000e+02   1.0000e+01   2.9932e-06   1.5925e-05
6.7000e+08   3.5000e+03   1.0000e+01   5.0923e-05   2.9340e-04
6.7000e+08   3.5000e+04   1.0000e+01   2.1636e-04   9.4324e-04
6.7000e+08   6.7000e+02   1.0000e+01   9.2042e-06   5.2181e-05
6.7000e+08   6.7000e+03   1.0000e+01   8.3821e-05   4.4344e-04
6.7000e+08   6.7000e+04   1.0000e+01   2.8028e-04   1.1690e-03
1.0000e+05   1.0000e+00   2.0000e+00   4.7100e-06   6.1149e-09
1.0000e+05   1.0000e+01   2.0000e+00   3.2023e-05   3.2108e-07
1.0000e+05   1.0000e+02   2.0000e+00   8.4814e-05   3.2215e-06
1.0000e+05   1.0000e+03   2.0000e+00   1.2368e-04   7.3845e-06
1.0000e+05   1.0000e+04   2.0000e+00   1.3437e-04   8.5359e-06
1.0000e+05   1.0000e+05   2.0000e+00   1.5623e-04   1.5161e-05
1.0000e+05   3.5000e+00   2.0000e+00   1.3976e-05   3.8531e-08
1.0000e+05   3.5000e+01   2.0000e+00   5.9773e-05   1.5534e-06
1.0000e+05   3.5000e+02   2.0000e+00   1.1119e-04   5.5040e-06
1.0000e+05   3.5000e+03   2.0000e+00   1.2852e-04   8.8024e-06
1.0000e+05   3.5000e+04   2.0000e+00   1.4561e-04   8.1881e-06
1.0000e+06   1.0000e+00   2.0000e+00   1.2131e-06   3.1830e-08
1.0000e+06   1.0000e+01   2.0000e+00   2.0423e-05   8.1794e-07
1.0000e+06   1.0000e+02   2.0000e+00   1.3211e-04   1.3510e-05
1.0000e+06   1.0000e+03   2.0000e+00   2.9274e-04   5.0268e-05
1.0000e+06   1.0000e+04   2.0000e+00   4.1250e-04   8.9190e-05
1.0000e+06   1.0000e+05   2.0000e+00   4.4408e-04   9.4761e-05
1.0000e+06   3.5000e+00   2.0000e+00   5.3527e-06   1.7770e-07
1.0000e+06   3.5000e+01   2.0000e+00   6.9657e-05   4.4562e-06
1.0000e+06   3.5000e+02   2.0000e+00   2.1658e-04   3.1574e-05
1.0000e+06   3.5000e+03   2.0000e+00   3.7594e-04   7.3218e-05
1.0000e+06   3.5000e+04   2.0000e+00   4.2998e-04   9.6979e-05
